num,name,route,presentation,price
01,Acetil L-Carnitina (40%) 800mg/2mL,EV / IM,Box – 10 AMPOLAS,"104,00"
02,"Acetonido de Triancinolona (0,25%) 2,5mg/1mL",ID (exclusivo),Box – 10 AMPOLAS,"218,00"
03,"Ácido Fólico (0,5%) 10mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"52,00"
04,Ácido Kójico (1%) 20mg + TGP-2 (1%) 20mg/2mL,ID (exclusivo),Box – 10 AMPOLAS,"113,00"
05,"Ácido Lipoico (0,5%) 10mg/2mL",EV / IM / SC / ID,Box – 10 AMPOLAS,"76,00"
06,Ácido Lipoico (2%) 100mg/5mL,EV / IM,Box – 10 AMPOLAS,"124,00"
07,"Ácido Lipoico (2,5%) 600mg/24mL (frasco)",EV (exclusivo),1 FRASCO,"49,00"
08,Ácido Lipoico (3%) 300mg/10mL,EV (exclusivo),Box – 10 AMPOLAS,"187,00"
09,"Ácido Tranexâmico (0,4%) 8mg/2mL",ID (exclusivo),Box – 10 AMPOLAS,"73,00"
10,Adenosina Trifosfato 20mg + Pirroloquinolina Quinona 2mg + L-Carnitina 600mg/2mL,EV (exclusivo),Box – 10 AMPOLAS,"206,00"
11,Alanil Glutamina (6%) 120mg/2mL,EV / IM,Box – 10 AMPOLAS,"90,00"
12,Alanil Glutamina (10%) 1g/10mL,EV (exclusivo),Box – 10 AMPOLAS,"243,00"
205,,EV (exclusivo),Box – 10 AMPOLAS,"160,00"
123,13,Alfa-GPC (Alfa-glicerilfosfatidilcolina),– 98% de GPC (15%) 150mg/1mL,VALOR (R$)
14,Glicina 74mg + Ácido Aspártico 9mg + L-Ornitina HCl 30mg + L-Lisina HCl 31mg + L-Prolina 90mg + Serina 12mg + L-Metionina 46mg + L-Arginina HCl 80mg + L-Triptofano 9mg,Aminoácidos Essenciais (5%) /5mL,15,"L-Leucina 49mg + L-Lisina HCl 36mg + L-Valina 41,5mg"
16,L-Leucina 114mg + L-Lisina HCl 104mg + L-Valina 86mg + L-Isoleucina 72mg + L-Treonina 62mg + L-Fenilalanina 48mg + L-Metionina 40mg + L-Triptofano 30mg,EV (exclusivo),Box – 10 AMPOLAS,"185,00"
17,"Anastrozol (0,1%) 1mg/1mL – veículo oleoso",IM (exclusivo),Box – 10 AMPOLAS,"63,00"
18,Ascorbato de Sódio (20%) 10g/50mL,EV (exclusivo),1 FRASCO,"44,00"
19,ATP – Adenosina Trifosfato (1%) 20mg/2mL,EV (exclusivo),Box – 10 AMPOLAS,"63,00"
20,Azul de Metileno (1%) 50mg/5mL,EV (exclusivo),Box – 10 AMPOLAS,"88,00"
21,Azul de Metileno (2%) 40mg/2mL,EV (exclusivo),Box – 10 AMPOLAS,"63,00"
22,Azul de Metileno (2%) 100mg/5mL,EV (exclusivo),Box – 10 AMPOLAS,"116,00"
23,BCAA /2mL,L-Leucina HCl 24mg + L-Isoleucina 10mg + L-Valina 10mg,VIAS DE ADMINISTRAÇÃO,APRESENTAÇÃO
59,24,"Benzopirona (Cumarina) (0,05%) 1mg/2mL",SC / ID,Box – 10 AMPOLAS
69,25,"Beta-Alanina (37,5%) 750mg/2mL",EV / IM,Box – 10 AMPOLAS
140,26,"Bicarbonato de Sódio (8,4%) 420mg/5mL",EV (exclusivo),Box – 10 AMPOLAS
63,27,"Bicarbonato de Sódio (8,4%) 840mg/10mL",EV (exclusivo),Box – 10 AMPOLAS
69,28,"Biotina (0,25%) 5mg/2mL",EV / IM / SC / ID,Box – 10 AMPOLAS
56,29,"Biotina (0,5%) 10mg/2mL",EV / IM / SC / ID,Box – 10 AMPOLAS
61,,EV (exclusivo),Box – 10 AMPOLAS,"162,00"
44,Cafeína 50mg + L-Carnitina 600mg + Cloreto Colina 150mg + Vit B6 (Piridoxina HCl) 100mg 32 + Inositol 150mg + Pentoxifilina 40mg + Lidocaína HCl 20mg + L-Metionina 100mg + Vit B12 (Metilcobalamina) 500mcg/10mL,SC (exclusivo),1 FRASCO,"37,00"
33,+ Lidocaína HCI 20mg + L-Metionina 100mg + Vit B12 (Metilcobalamina) 500mcg/10mL,SC (exclusivo),Box – 10 AMPOLAS,"250,00"
30,250mcg/10mL 31,Cafeína Benzoica (5%) 100mg/2mL,34,Citicolina Sódica (25%) 250mg/1mL
237,35,"Citrato de Sódio (30%) 1,5g/5mL",EV (exclusivo),Box – 10 AMPOLAS
69,36,Citrus sinensis L. Osbeck Moro (2%) 20mg/1mL,IM (exclusivo),Box – 10 AMPOLAS
163,,IM (exclusivo),Box – 10 AMPOLAS,"196,00"
205,,IM (exclusivo),Box – 10 AMPOLAS,"358,00"
45,"Citrus sinensis complex com Cafeína /2,5mL 37",Citrus sinensis L. Osbeck Moro 20mg + L-Carnitina 150mg,"+ Cafeína 60mg + Inositol 50mg + Furosemida 2,5mg",+ Lidocaína HCl 10mg
38,"+ L-Carnitina 150mg + Inositol 50mg + Furosemida 2,5mg + Lidocaína HCl 10mg",Citrus sinensis complex com Teacrina /5mL,39 Citrus sinensis L. Osbeck Moro 40mg + Teacrina 50 mg,+ L-Carnitina 300mg + Inositol 100mg + Furosemida 5mg
40,10,Cloreto de Cálcio (10%) 100mg/1mL,AVISO LEGAL | É proibida a divulgação das informações contidas neste material para consumidores ORIENTAÇÕES GERAIS | Recomendamos que os ativos innos termos do item 5.14 da RCD 67/2007. Estas sugestões são de apoio técnico para prescritores e devem jetáveis da Essentia Pharma sejam associados exclusivamente,"ser avaliadas criteriosamente pelo profissional habilitado, caso a caso, antes da administração."
41,Cloreto de Colina (25%) 500mg/2mL,EV / IM / SC,Box – 10 AMPOLAS,"59,00"
42,Cloreto de Colina 330mg + L-Carnitina 330mg + Vit B5 (D-Pantenol) 80mg/2mL,EV / IM / SC,Box – 10 AMPOLAS,"104,00"
43,"Cloreto de Cromo (0,005%) 100mcg /2mL",EV / IM / SC,Box – 10 AMPOLAS,"47,00"
44,Cloreto de Magnésio (10%) 500mg/5mL,EV / IM,Box – 10 AMPOLAS,"62,00"
45,Coenzima Q10 (5%) 50mg/1mL – veículo oleoso,IM (exclusivo),Box – 10 AMPOLAS,"147,00"
46,Coenzima Q10 (5%) 100mg/2mL – veículo oleoso,IM (exclusivo),Box – 10 AMPOLAS,"283,00"
326,,EV / IM / SC,Box – 10 AMPOLAS,"68,00"
150,,EV / IM / SC,Box – 10 AMPOLAS,"51,00"
155,,IM / SC / ID,Box – 10 AMPOLAS,"129,00"
315,Coenzimáticos 47,Vit B1 (Tiamina HCl) 6mg + Vit B2 (Riboflavina-5-Fosfato) 4mg,+ Vit B5 (D-pantenol) 15mg + Vit B6 (Piridoxal-5-fosfato) 5mg,+ Vit B12 (Metilcobalamina) 1mg/2mL
48,"+ Vit B3 (Nicotinamida) 15mg + Vit B5 (D-pantenol) 3mg + Vit B6 (Piridoxina HCl) 1,25mg",Complexo B – com Metil B12/2mL,49 Vit B2 (Riboflavina-5-Fosfato) 10mg + Vit B3 (Nicotinamida) 30mg,+ Vit B5 (D-pantenol) 30mg + Vit B6 (Piridoxina HCl) 80mg
50,+ Vit B5 (D-pantenol) 50mg + Vit B6 (Piridoxina HCl) 10mg Complexo B – com B12 e P5F/2mL 51,Vit B2 (Riboflavina-5-Fosfato) 10mg + Vit B3 (Nicotinamida) 30mg,+ Vit B5 (D-Pantenol) 50mg + Piridoxal 5-fosfato 6mg,+ Vit B12 (Metilcobalamina) 1mg
52,+ Vit B2 (Riboflavina-5-Fosfato) 4mg + Vit B3 (Nicotinamida) 10mg + Vit B5 (D-pantenol) 15mg + Vit B6 (Piridoxina HCl) 10mg + Folinato de Cálcio 500mcg,"Complexo de Aminoácidos,",Minerais e Vitaminas /5mL,HMB – Hidroximetilbutirato de cálcio 50mg
53,+ Sulfato de Zinco 5mg + Sulfato de Magnésio 500mg + Vit B6 (Piridoxina HCl) 20mg + L-Ornitina HCl 150mg + L-Arginina HCl 1000mg + L-Carnitina 300mg 54,Condroitina Sulfato (5%) 100mg/2mL,IM / SC / ID / IA,Box – 10 AMPOLAS
73,55,"Crisina (0,005%) 100mcg/2mL",IM / SC / ID,Box – 10 AMPOLAS
217,56,D-Ribose (25%) 500mg/2mL,EV / IM / SC,Box – 10 AMPOLAS
133,"AVISO LEGAL | É proibida a divulgação das informações contidas neste material para consumidores ORIENTAÇÕES GERAIS | Recomendamos que os ativos innos termos do item 5.14 da RCD 67/2007. Estas sugestões são de apoio técnico para prescritores e devem jetáveis da Essentia Pharma sejam associados exclusivamente ser avaliadas criteriosamente pelo profissional habilitado, caso a caso, antes da administração. entre si para maior eficácia e segurança dos tratamentos.",11,INJETÁVEIS ESSENTIA PHARMA,VIAS DE ADMINISTRAÇÃO
125,"+ Citrato Trissódico (2,2%)/5mL",EV (exclusivo),Box – 10 AMPOLAS,"76,00"
59,"DL-Fenilalanina (1,25%) 125mg/10mL",EV (exclusivo),Box – 10 AMPOLAS,"107,00"
60,DMAE Bitartarato (3%) 60mg/2mL,IM / SC / ID,Box – 10 AMPOLAS,"120,00"
61,DMPS (Ácido Dimercaptopropanosulfato) (2%) 100mg/5mL,EV / IM,Box – 10 AMPOLAS,"750,00"
62,"DMSO – Dimetilsulfóxido (99,9%) /5mL",EV (exclusivo),Box – 10 AMPOLAS,"117,00"
63,"Dutasterida (0,05%) 0,5mg/1mL",ID (exclusivo),1 FRASCO,"17,90"
64,EDTA Cálcico (15%) 750mg/5mL,EV / IM,Box – 10 AMPOLAS,"86,00"
65,"EDTA Cálcico (15%) 1,5g/10mL",EV / IM,Box – 10 AMPOLAS,"119,00"
66,EDTA Sódico (15%) 750mg/5mL,EV (exclusivo),Box – 10 AMPOLAS,"82,00"
67,"EDTA Sódico (15%) 1,5g/10mL",EV (exclusivo),Box – 10 AMPOLAS,"107,00"
68,EGF (1%) + IGF (1%) + TGFB3 (1%) /2mL,SC / ID,Box – 10 AMPOLAS,"71,00"
69,Ferro Carboximaltose 250mg/10mL,EV (exclusivo),Box – 10 AMPOLAS,"2.750,00"
70,"Finasterida (0,05%) 1mg/2mL",IM / SC / ID,Box – 10 AMPOLAS,"112,00"
71,"Fosfato de Potássio (9,3%) 2mEq/2mL",EV (exclusivo),Box – 10 AMPOLAS,"107,00"
72,"Furosemida (0,5%) 10mg/2mL",IM / SC / ID,Box – 10 AMPOLAS,"72,00"
73,"GABA (Ácido gama-aminobutírico) (1,25%) 25mg/2mL",EV / IM,Box – 10 AMPOLAS,"90,00"
74,"Geranilgeraniol (0,5%) 10mg/2mL – veículo oleoso",IM (exclusivo),Box – 10 AMPOLAS,"117,00"
75,"Glicina (3,75%) 75mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"41,00"
76,Glicose (75%) /10mL,EV (escleroterapia),Box – 10 AMPOLAS,"111,00"
77,"Glicose (75%) + Lidocaína HCl (0,4%) 20mg/5mL",EV (escleroterapia),1 FRASCO,"18,00"
78,HCG — Gonadotrofina Coriônica Humana 150 UI/1mL,SC (exclusivo),Box – 10 AMPOLAS,"250,00"
79,"Hialuronato de sódio (0,06%) 1,2mg/2mL",SC / ID,Box – 10 AMPOLAS,"68,00"
80,"Hidroxitriptofano (0,2%) 4mg/2mL",EV / IM / SC,Box – 10 AMPOLAS,"56,00"
