produto,volume,via,preco,embalagem
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 26,90",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 291,50",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 59,30",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 89,00",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 46,70",(Caixa com 1 frasco)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 755,00",(Caixa com 5 frascos)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 240,20",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 350,00",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 28,70",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 70,10",(Caixa com 5 ampolas)
(Caixa com 1 frasco),5 mL,EV / ID,"R$ 175,40",
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 28,70",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 20,60",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 2.067,20",(Caixa com 5 frascos)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 22,40",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 68,30",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 130,40",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 55,70",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 39,50",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 23,30",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 70,10",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 120,50",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 61,10",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 156,50",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 127,70",(Caixa com 1 frasco)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 65,00",(Caixa com 5 ampolas)
Uso exclusivo ID,2 mL,Uso exclusivo ID,"R$ 84,50",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 70,10",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 77,30",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 43,10",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 39,50",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 23,30",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 27,80",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 123,20",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 89,00",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 48,50",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 53,00",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 29,60",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 20,60",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 80,90",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 149,30",(Caixa com 5 ampolas)
L-ORNITINA (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 25,10",(Caixa com 5 ampolas)
NAC (N-Acetilcisteina) (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 139,40",(Caixa com 5 ampolas)
NAC (N-Acetilcisteina) (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 23,30",(Caixa com 5 ampolas)
NAC (N-Acetilcisteina) (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 35,90",(Caixa com 5 ampolas)
NAC (N-Acetilcisteina) (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 21,50",(Caixa com 5 ampolas)
NAC (N-Acetilcisteina) (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 90,80",(Caixa com 5 ampolas)
NAC (N-Acetilcisteina) (15 %) 300 mg,2 mL,EV / IM / SC,"R$ 48,50",(Caixa com 5 ampolas)
